"X","date","sal","do","ph","depth","w.temp","a.temp"
1,"1/3/1994",1.3,11.7,7.3,0.4,5.9,8
2,"1/31/1994",1.5,12,7.4,0.35,3,2.6
3,"2/7/1994",1,10.5,7.2,0.6,5.9,7.6
4,"2/23/1994",1,10.1,7.4,0.5,10,2.7
5,"2/28/1994",1,12.6,7.2,0.4,1.6,0
6,"3/7/1994",1,9.9,7.1,0.9,9.7,15.2
7,"3/14/1994",0.5,10.4,7.2,0.75,9.8,10.1
8,"3/28/1994",1,9.2,7.1,0.95,16.1,22.1
9,"4/4/1994",1,9.2,7.2,0.75,15,13.5
10,"4/11/1994",1,8.6,7.3,0.75,15.7,13
11,"4/18/1994",1,8.8,7.6,0.7,17.5,16.6
12,"4/25/1994",1,10,7.9,0.5,19.3,22.1
13,"5/2/1994",1.3,9.8,7.5,0.65,16.1,13
14,"5/9/1994",1,10.1,7.9,0.75,18.8,19.5
15,"5/16/1994",1,8.2,7.8,0.8,22.1,22.3
16,"5/23/1994",1,10.8,9.1,0.05,21.7,24.3
17,"5/30/1994",1,8.7,8.5,0.8,22.3,22.7
18,"6/6/1994",1,9.4,8.6,0.8,23.8,25.7
19,"6/13/1994",1.2,10.4,9,0.8,27.9,26.9
20,"6/20/1994",1.5,9.8,9,0.7,29.5,30.5
21,"6/27/1994",1.5,7.3,8.1,1.2,25.5,27.9
22,"7/3/1994",2,10.7,9,0.9,28.5,28
23,"6/25/1994",2,11,9.4,0.9,30.5,28.5
24,"8/1/1994",2,10.7,9.2,0.75,29,25.5
25,"8/8/1994",2,10.2,9.2,0.55,22,21.5
26,"8/15/1994",2.3,6.9,8.8,0.9,24.5,20
27,"8/22/1994",2,9.1,9.1,0.9,27,24.5
28,"8/29/1994",2.3,9.8,9.3,0.75,27,27
29,"9/5/1994",2.5,8.6,8.5,1.2,17,17
30,"9/12/1994",2.5,7.9,8.4,0.6,21,19
31,"9/19/1994",2.5,8.2,8.1,0.6,20.5,21.5
32,"9/26/1994",2.25,6.9,8.1,0.8,23,23
33,"10/10/1994",2.5,8.4,8.1,0.5,17,17
34,"10/24/1994",2.5,7.4,7.6,0.85,18,19
35,"11/7/1994",2.5,9,7.3,0.5,15,15
36,"11/28/1994",2.8,9.4,7.7,0.65,13,17.5
37,"12/12/1994",2.5,11.4,6.9,0.4,5,5
38,"12/29/1994",3,10.4,6.9,0.4,8,9.5
58,"1/22/1990",1,9.7,7.5,0.65,10,12
60,"2/7/1990",3.4,10.8,7.5,0.6,10,10
61,"2/12/1990",3.2,10.6,7,0.7,10,9
62,"2/20/1990",4.2,11.6,7.5,0.39,5,5
63,"2/27/1990",2.8,13.8,7,1.5,2.5,1
64,"3/5/1990",2.9,11.6,7,0.4,7,8.5
65,"3/12/1990",2.9,9,7,0.69,17,21
66,"3/19/1990",2.8,7.8,7,0.92,15,14
67,"3/26/1990",3,10.8,7,0.4,9.5,9
68,"4/2/1990",1.8,9.6,8,0.7,5,15
69,"4/9/1990",4.1,10.8,7,0.78,11,12
70,"4/16/1990",2.5,9.7,7,0.72,15,14
71,"4/23/1990",2.8,10.7,7,0.59,15,15
72,"4/30/1990",3.2,10,7,1.3,18,16
73,"5/7/1990",4.5,8.9,7,0.75,17,18
74,"5/14/1990",3.7,8.4,7,1,20,19
76,"5/29/1990",2.1,8.9,7,0.95,19,20
77,"6/4/1990",3.5,6.9,7,1.22,24,25
78,"6/11/1990",3.2,7.9,7,0.75,24,22
79,"6/16/1990",3.2,7.7,7,0.62,23.5,20
80,"6/24/1990",3.8,7.9,7,0.91,26,26
81,"7/2/1990",3.7,7.8,7,0.78,24,23.5
82,"7/9/1990",4.2,7.5,7.5,0.82,26,26.5
83,"7/16/1990",3.9,7.5,7,1.25,26.5,-17.77777778
84,"7/26/1990",4.2,6.9,7.75,0.48,27,26
85,"8/6/1990",4.2,7.7,8,0.98,26,26
86,"8/13/1990",4.2,7.8,8,0.82,27,27
87,"8/27/1990",4.2,8.9,8,0.94,27,28.5
88,"9/4/1990",2.9,8.1,8,0.68,23,24
89,"9/17/1990",2.4,8.8,8,0.78,21,18
90,"10/15/1990",3.5,8.2,8,0.93,23,22
91,"10/29/1990",0.7,12.5,8,0.38,9,10
92,"12/17/1990",0.5,11.05,7.5,0.6,8,8
93,"1/7/1991",0.7,11.8,8,0.39,9,8
94,"1/14/1991",0.4,12.2,8,0.65,4.5,4
95,"1/24/1991",0.5,13.2,7.5,0.65,4.5,4.5
96,"1/3/1991",0.5,11.9,7.5,0.78,9,11
98,"2/11/1991",0.7,11.1,7.5,0.41,7.5,8
99,"2/21/1991",1.2,10.8,7.5,0.72,12,10.5
100,"2/25/1991",0.7,11.8,7.5,0.28,8,8
101,"3/4/1991",1.2,10,7.5,1.6,15,16
102,"3/11/1991",0.4,12.9,7.5,0.35,6,4
104,"3/25/1991",0,9.8,8,0.94,14,13
105,"4/4/1991",1.2,10.7,8,0.78,13,14
106,"4/8/1991",2.1,8.7,8,0.83,19,21
107,"4/15/1991",1.2,8.9,7.5,0.52,14,15.5
108,"4/22/1991",0.9,9.75,7.5,0.55,12.5,13
109,"4/29/1991",2.4,8.3,7.5,0.8,20.5,18
110,"5/6/1991",2.6,8,7.5,0.95,21,23.5
111,"5/20/1991",1.3,9.5,7.5,0.5,15.5,15
112,"6/10/1991",3,6.9,7.5,0.7,23,26
113,"6/17/1991",3.8,6.8,7.5,1.09,26,27
114,"6/26/1991",2.8,8.1,7.5,0.7,21,21.5
115,"7/9/1991",1.8,7.8,7.5,0.95,28,29.5
